Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE,Absolute score
GSM4641904,0.029652077007986,0,0.02353555905318,0.16385139822954,0,0,0,0.026988493640535,0.059922383784885,0,0,0.056748363851412,0.04770438831253,0.06899961797202,0,0,0,0.035591075159458,0.016784988765037,0,0,0,0.47022165422341,0.0138607833360937,1.1104490066597799,0.6861338895818926
GSM4641905,0.025132388645283,0.05878335232942,0.018241279247272,0.17238661463088,0,0.0007,0,0.027827592446216,0,0,0,0.040349598016782,0.081898513870121,0.084663073862742,0,0,0,0.022898571139905,0.086309450878508,0,0.0023069951704625,0,0.378461069343,0.043054334112418255,1.0705073174329247,0.6881151934527293
GSM4641906,0.030715540258015,0.030351576125251,0.018764511314713,0.019796458254591,0.080543378567825,0,0,0.0021743513431837,0.012856314818086,0,0,0.09984159181195,0.089765311697648,0.043942572336319,0,0,0,0,0.066299475927066,0,0,0,0.50494891754535,0.0002,1.1079898409324886,0.702945612489802
GSM4641907,0,0.01732196743347,0.075423851240523,0.21952399619094,0,0,0,0.042906731028985,0.041344155027887,0,0,0.090725134645906,0.06546987417315,0.04662452235626,0,0,0,0.030769338503505,0,0,0,0,0.36989042939938,0.044328674080191054,1.110673448646245,0.6899188403107169
GSM4641908,0,0.091035903409084,0,0.1909317094002,0,0,0,0.04529660912538,0.035354695694173,0,0.016486710325426,0.058982084630908,0.053038259857512,0.056356971306742,0,0,0,0.01937542281016,0.033459651934323,0,0,0,0.39968198150609,0.03221549931577258,1.1077206749358952,0.726962771391842
GSM4641909,0,0.0012064526068647,0.0822118993921,0.33937886461498,0.0039768250858825,0,0,0.039287237241913,0.11616249701151,0,0,0.049240667151686,0.06440360567785,0.027175112566393,0,0.01151745618544,0,0.013161318892455,0.023309809836639,0,0.0076785291060383,0,0.22128972463025,0.08675373921964447,1.0947610799134067,0.721387342848995
GSM4641910,0,0.092673215625527,0.072627814141829,0.23787180992499,0,0,0,0,0.062610373806444,0,0,0.059879062816312,0.099857078189979,0.040114875653588,0,0,0,0.016986091456804,0.036702447164869,0,0,0,0.28067723121966,0.06688404722069198,1.0731708992286402,0.7124615304632242
GSM4641911,0,0.087523682657756,0.0003,0.21930964674886,0,0,0,0.038418956245073,0.048686937009888,0,0,0.082377015057607,0.080997698612646,0.048008304889517,0,0,0,0.033724565071146,0.019827412682574,0,0,0,0.34077908878391,0.052015474617615506,1.103978829667783,0.675123872287536
GSM4641912,0,0.12370782398403,0,0.11088340616447,0,0.022049581324518,0,0.045902133858246,0.017095319051192,0,0,0.060688742591231,0.023054600288031,0.038548353838234,0,0.0051574807319205,0,0.057841718031005,0,0.0062249377812693,0,0,0.48884590235586,0.006781896486546821,1.1143441569592443,0.6901187118871511
GSM4641913,0.0035401120390084,0.092475273725963,0.06047313875976,0.27178414735301,0,0.063538875175771,0,0.055139606065355,0.033556738479922,0,0,0.09459232855867,0.10165875731344,0.029827763183084,0,0,0,0.034212696133127,0,0.043175102290269,0,0,0.11602546092262,0.12638927191616758,1.06262861490615,0.7771173867262307
