GSM528004	Prostate tumor PCA0199 transcript
GSM528005	Prostate tumor PCA0200 transcript
GSM528006	Prostate tumor PCA0201 transcript
GSM528007	Prostate tumor PCA0206 transcript
GSM528008	Prostate tumor PCA0207 transcript
GSM528009	Prostate tumor PCA0208 transcript
GSM528010	Prostate tumor PCA0209 transcript
GSM528011	Prostate tumor PCA0210 transcript
GSM528012	Prostate tumor PCA0211 transcript
GSM528013	Prostate tumor PCA0213 transcript
GSM528014	Prostate tumor PCA0215 transcript
GSM528015	Cell line DU145 transcript
GSM528016	Cell line LNCaP transcript
GSM528017	Xenograft LNCaP104R transcript
GSM528018	Xenograft LNCaP104S transcript
GSM528019	Cell line PC3 transcript
GSM528020	Cell line Vcap transcript
GSM528021	Prostate normal PAN0095 transcript
GSM528022	Prostate normal PAN0107 transcript
GSM528023	Prostate normal PAN0109 transcript
GSM528024	Prostate normal PAN0110 transcript
GSM528025	Prostate normal PAN0112 transcript
GSM528026	Prostate normal PAN0113 transcript
GSM528027	Prostate normal PAN0114 transcript
GSM528028	Prostate normal PAN0115 transcript
GSM528029	Prostate normal PAN0117 transcript
GSM528030	Prostate normal PAN0120 transcript
GSM528031	Prostate normal PAN0122 transcript
GSM528032	Prostate normal PAN0125 transcript
GSM528033	Prostate normal PAN0127 transcript
GSM528034	Prostate normal PAN0128 transcript
GSM528035	Prostate normal PAN0129 transcript
GSM528036	Prostate normal PAN0134 transcript
GSM528037	Prostate normal PAN0135 transcript
GSM528038	Prostate normal PAN0136 transcript
GSM528039	Prostate normal PAN0144 transcript
GSM528040	Prostate normal PAN0147 transcript
GSM528041	Prostate normal PAN0151 transcript
GSM528042	Prostate normal PAN0157 transcript
GSM528043	Prostate normal PAN0162 transcript
GSM528044	Prostate normal PAN0164 transcript
GSM528045	Prostate normal PAN0167 transcript
GSM528046	Prostate normal PAN0169 transcript
GSM528047	Prostate normal PAN0171 transcript
GSM528048	Prostate normal PAN0172 transcript
GSM528049	Prostate normal PAN0174 transcript
GSM525575	Prostate tumor PCA0001 (aCGH)
GSM525576	Prostate tumor PCA0002 (aCGH)
GSM525577	Prostate tumor PCA0003 (aCGH)
GSM525578	Prostate tumor PCA0004 (aCGH)
GSM525579	Prostate tumor PCA0005 (aCGH)
GSM525580	Prostate tumor PCA0006 (aCGH)
GSM525581	Prostate tumor PCA0007 (aCGH)
GSM525582	Prostate tumor PCA0008 (aCGH)
GSM525583	Prostate tumor PCA0009 (aCGH)
GSM525584	Prostate tumor PCA0010 (aCGH)
GSM525585	Prostate tumor PCA0011 (aCGH)
GSM525586	Prostate tumor PCA0012 (aCGH)
GSM525587	Prostate tumor PCA0013 (aCGH)
GSM525588	Prostate tumor PCA0014 (aCGH)
GSM525589	Prostate tumor PCA0015 (aCGH)
GSM525590	Prostate tumor PCA0016 (aCGH)
GSM525591	Prostate tumor PCA0017 (aCGH)
GSM525592	Prostate tumor PCA0018 (aCGH)
GSM525593	Prostate tumor PCA0019 (aCGH)
GSM525594	Prostate tumor PCA0020 (aCGH)
GSM525595	Prostate tumor PCA0021 (aCGH)
GSM525596	Prostate tumor PCA0022 (aCGH)
GSM525597	Prostate tumor PCA0023 (aCGH)
GSM525598	Prostate tumor PCA0024 (aCGH)
GSM525599	Prostate tumor PCA0025 (aCGH)
GSM525600	Prostate tumor PCA0026 (aCGH)
GSM525601	Prostate tumor PCA0027 (aCGH)
GSM525602	Prostate tumor PCA0028 (aCGH)
GSM525603	Prostate tumor PCA0029 (aCGH)
GSM525604	Prostate tumor PCA0030 (aCGH)
GSM525605	Prostate tumor PCA0031 (aCGH)
GSM525606	Prostate tumor PCA0032 (aCGH)
GSM525607	Prostate tumor PCA0033 (aCGH)
GSM525608	Prostate tumor PCA0034 (aCGH)
GSM525609	Prostate tumor PCA0035 (aCGH)
